pcode;poverty_incidence;flood_phys_exp;cyclone_phys_exp;earthquake7_phys_exp;tsunami_phys_exp;drought_phys_exp;good_governance_index;income_class;perc_wall_partly_concrete;perc_roof_concrete_alu_iron;pantawid_perc;nr_health_facilities;health_density;population;land_area;pop_density;traveltime;hdi;pcode_level2;risk_score;hazard_score;vulnerability_score;coping_capacity_score;pov_score;inc_score;hdi_score;wall_score;roof_score;pantawid_score;flood_score;cyclone_score;earthquake_score;tsunami_score;drought_score;travel_score;hospitals_score;governance_score;name
PH076100000;0.222;0;0;0;0;0.281;185;4.5;0.539;0.864;0.04;47;4.47991331888648;95984;327.6;293.4;159.3;0.69;PH076100000;3.66083304922613;2.02686352761043;3.58924567340284;5.05215646743287;2.5933143689628744;7.013356392732122;2.432;4.411027206024289;1.569054194325364;1.414841147233459;0;0;0;0;7.0221456153994755;7.285802617793208;2.4768210596606877;4.029056084957214;Siquijor
PH157000000;0.365;0;0;0;0;0.125;84.2;2.3;0.103;0.66;0.093;61;1.51399288679952;389698;1193.9;329;297;0.403;PH157000000;4.8410271001896;1.57329657313155;5.73571259017343;6.15394887281902;4.284051242714697;2.680655276650124;7.024;8.937356539717856;3.9474416507511854;3.2686886862698086;0;0;0;0;5.630402882156773;6.311362878498784;4.837897717186819;5.689506327144457;Tawi-Tawi
PH137500000;0.031;0.076;0.291;0;0.03;0.297;null;1.1;0.861;0.994;0.025;155;0.55614379223329;2787049;109.9;23825;8.4;0.829;PH137500000;4.61328636843258;6.84817162348717;0.463861324753731;5.0390942222035;0.33095319854982413;0.17463273878571922;0.208;1.0595917237386405;0.06316061704515684;0.8737039316546227;8.26935801391782;8.212225955938486;0;7.074276660943457;7.266904862937139;2.308902545675698;6.897600505258664;null;Third District (Manila)
PH025700000;0.166;0.003;0.458;0.004;0;0.246;216.2;2.2;0.568;0.907;0.044;111;5.87329555375653;188991;3246.8;58.2;227;0.549;PH025700000;4.36281108014279;4.96073999138866;2.82148983217889;4.98624755563719;1.9346976824512385;2.471937817144732;4.688;4.105976248459224;1.0729265282935752;1.5588202240199083;1.9981125418072498;8.401810806138574;2.8115954034666726;0;6.979630887282388;7.436885583544381;2.2240993761680965;3.8879126332606506;Quirino
PH063000000;0.196;0.001;0.04;0;0;0.311;121.7;2.2;0.485;0.853;0.038;600;2.53238818978561;2369305;4846.1;484.2;69.3;0.691;PH063000000;3.71336680262283;3.64281310787905;2.69023709031214;4.62221067982656;2.2894016270144584;2.4341644490683976;2.416;4.96657511708972;1.6958923516272888;1.3551053822730628;0.7262020070438687;6.4196167707933265;0;0;7.135388555771838;5.419210375827557;3.892011048534231;3.557256141661287;Iloilo
PH118200000;0.327;0.001;0.005;0.004;0;0.164;160.4;1.3;0.346;0.851;0.087;224;3.05558852135434;733083;4312.1;170.1;261.2;0.491;PH118200000;4.44312275014826;3.89958992707349;3.86099227189997;5.40027056603214;3.8357658299176096;0.5528541788583284;5.616;6.415604597679478;1.7225285419966128;3.0497723073572383;1.5813169215854708;4.324450536711966;3.7409627638747693;0.48443558512631757;6.7587729987675695;7.374689084512273;3.5312487436435016;4.367313254330391;Compostela Valley
PH045600000;0.231;0.001;0.286;0.011;0.004;0.18;128;2.1;0.59;0.795;0.045;776;3.63381010180331;2118988;8670.8;242.5;151.4;0.536;PH045600000;4.58736319811488;5.26803832361384;3.19234495604361;4.9671672381392;2.693104030914925;2.287962933249268;4.896;3.8796770713209128;2.372834754230748;1.5701239639054911;1.0204832888800757;8.137666243676598;4.645382466525744;1.5433485141233922;6.8657817771767595;6.276929327851729;3.4376659347499587;3.651399853158311;Quezon
PH175100000;0.262;0.001;0.072;0.016;0.002;0.19;148.5;1.8;0.513;0.619;0.064;159;3.2747246862752;485537;6107.5;79.5;186.5;0.536;PH175100000;4.73123265642308;5.25348271266479;3.65517982089564;5.11226788898528;3.0664076411558856;1.6869610348953838;4.896;4.681523572050968;4.419022143246635;2.251483017481994;2.463669322025433;7.047856638655589;6.273246611357598;0.5788430527124232;6.9119354114865414;6.561221160871265;3.4212337517850195;4.613519544326871;Occidental Mindoro
PH045800000;0.047;0.001;0.124;0;0;0.236;176.6;1.2;0.813;0.958;0.014;330;1.14415404890114;2884227;1317.9;2181.9;44;0.805;PH045800000;3.17291488017779;3.91095807507042;0.69254172511086;4.38705680951319;0.5230978719487612;0.3596131649832;0.592;1.5587450478116158;0.4813136453575307;0.5011294382647511;0.989348503541658;7.46854822233669;0;0;6.7426182028436585;2.934036962398369;5.716427076962645;2.480050787770797;Rizal
PH061900000;0.274;0.002;0.077;0.001;0;0.299;98.7;3;0.445;0.792;0.05;374;4.91210742542528;761384;2705.9;280.2;57.4;0.561;PH061900000;4.12388311146982;4.33520484492956;3.71057271397389;4.26806357530621;3.203680441913409;4.048847887531127;4.496;5.383021545096136;2.40763699575971;1.7626482604028868;2.6333604943974414;7.118794363189401;0.6676213047726655;0;7.215588754712044;5.079325547780335;2.675531005085467;3.9622129959589385;Capiz
